Category,Level,Iteration,Configuration,Good Proposals,Bad Proposals,Max Attempts
1_ball,00006,02,higher_space_iterations,5,5,54
1_ball,00006,02,lower_elasticity,5,5,71
1_ball,00006,02,default,5,5,54
1_ball,00006,03,lower_density,5,5,48
1_ball,00006,03,higher_gravity,5,5,66
1_ball,00006,03,higher_density,5,5,34
1_ball,00006,03,higher_time_scale,5,5,31
1_ball,00006,03,higher_elasticity,5,5,19
1_ball,00006,03,lower_space_iterations,5,5,79
1_ball,00006,03,lower_time_scale,5,5,44
1_ball,00006,03,lower_friction,5,5,20
1_ball,00006,03,higher_friction,5,5,19
1_ball,00006,03,lower_gravity,5,5,33
1_ball,00006,03,higher_space_iterations,5,5,25
1_ball,00006,03,lower_elasticity,5,5,33
1_ball,00006,03,default,5,5,14
1_ball,00006,04,lower_density,5,5,53
1_ball,00006,04,higher_gravity,5,5,32
1_ball,00006,04,higher_density,5,5,34
1_ball,00006,04,higher_time_scale,5,5,69
1_ball,00006,04,higher_elasticity,5,5,30
1_ball,00006,04,lower_space_iterations,5,5,43
1_ball,00006,04,lower_time_scale,5,5,39
1_ball,00006,04,lower_friction,5,5,37
1_ball,00006,04,higher_friction,5,5,71
1_ball,00006,04,lower_gravity,5,5,40
1_ball,00006,04,higher_space_iterations,5,5,59
1_ball,00006,04,lower_elasticity,5,5,73
1_ball,00006,04,default,5,5,59
1_ball,00007,00,lower_density,5,5,48
1_ball,00007,00,higher_gravity,5,5,37
1_ball,00007,00,higher_density,5,5,30
1_ball,00007,00,higher_time_scale,5,5,37
1_ball,00007,00,higher_elasticity,5,5,15
1_ball,00007,00,lower_space_iterations,5,5,39
1_ball,00007,00,lower_time_scale,5,5,12
1_ball,00007,00,lower_friction,5,5,13
1_ball,00007,00,higher_friction,5,5,25
1_ball,00007,00,lower_gravity,5,5,17
1_ball,00007,00,higher_space_iterations,5,5,40
1_ball,00007,00,lower_elasticity,5,5,60
1_ball,00007,00,default,5,5,59
1_ball,00007,01,lower_density,5,5,37
1_ball,00007,01,higher_gravity,5,5,35
1_ball,00007,01,higher_density,5,5,65
1_ball,00007,01,higher_time_scale,5,5,26
1_ball,00007,01,higher_elasticity,5,5,20
1_ball,00007,01,lower_space_iterations,5,5,18
1_ball,00007,01,lower_time_scale,5,5,33
1_ball,00007,01,lower_friction,5,5,35
1_ball,00007,01,higher_friction,5,5,16
1_ball,00007,01,lower_gravity,5,5,33
1_ball,00007,01,higher_space_iterations,5,5,30
1_ball,00007,01,lower_elasticity,0,5,4
1_ball,00007,01,default,5,5,65
